date,net,cash,holdings,cost_basis,starting_cash,margin,mtm,realized,pnls,liquid_value,commissions,charges,day_pnl,gross_leverage,net_leverage,gross_exposure,net_exposure,long_exposure,short_exposure,longs_count,shorts_count,algo_returns,algo_cum_returns,algo_volatility,drawdown,sharpe,strategy_vol,benchmark,benchmark_returns,alpha,beta
2022-06-02 00:00:00+05:30,14651.1900,1351.1900,13300.0000,8648.8100,10000.0000,0.0000,4651.1900,0.0000,4651.1900,14651.1900,0.0000,0.0000,7.0000,0.9100,0.9100,13300.0000,13300.0000,13300.0000,0.0000,1,0,0.0005,0.4651,0.3151,0.0000,3.9879,0.3153,9434.1195,0.0058,0.004726094605727814,0.6175824732480636
2022-06-03 00:00:00+05:30,14644.1900,1351.1900,13293.0000,8648.8100,10000.0000,0.0000,4644.1900,0.0000,4644.1900,14644.1900,0.0000,0.0000,-7.0000,0.9100,0.9100,13293.0000,13293.0000,13293.0000,0.0000,1,0,-0.0005,0.4644,0.3136,-0.0005,4.4971,0.3071,9404.1230,-0.0032,0.004637998911942028,0.6221180825693541
2022-06-06 00:00:00+05:30,14562.2900,1351.1900,13211.1000,8648.8100,10000.0000,0.0000,4562.2900,0.0000,4562.2900,14562.2900,0.0000,0.0000,-81.9000,0.9100,0.9100,13211.1000,13211.1000,13211.1000,0.0000,1,0,-0.0056,0.4562,0.3122,-0.0061,4.4782,0.3072,9392.3001,-0.0013,0.004859216395164151,0.5730119059226955
2022-06-07 00:00:00+05:30,14619.6900,1351.1900,13268.5000,8648.8100,10000.0000,0.0000,4619.6900,0.0000,4619.6900,14619.6900,0.0000,0.0000,57.4000,0.9100,0.9100,13268.5000,13268.5000,13268.5000,0.0000,1,0,0.0039,0.4620,0.3108,-0.0021,4.4134,0.3072,9302.2537,-0.0096,0.005162513864383669,0.580436931134088
2022-06-08 00:00:00+05:30,14258.4900,1351.1900,12907.3000,8648.8100,10000.0000,0.0000,4258.4900,0.0000,4258.4900,14258.4900,0.0000,0.0000,-361.2000,0.9100,0.9100,12907.3000,12907.3000,12907.3000,0.0000,1,0,-0.0247,0.4258,0.3117,-0.0268,3.7275,0.3113,9262.8726,-0.0042,0.004861415949830513,0.6158764825270765
2022-06-09 00:00:00+05:30,14479.3400,1351.1900,13128.1500,8648.8100,10000.0000,0.0000,4479.3400,0.0000,4479.3400,14479.3400,0.0000,0.0000,220.8500,0.9100,0.9100,13128.1500,13128.1500,13128.1500,0.0000,1,0,0.0155,0.4479,0.3112,-0.0117,3.8236,0.3121,9345.8877,0.0090,0.00479056805099375,0.6080632291452019
2022-06-10 00:00:00+05:30,14567.1900,1351.1900,13216.0000,8648.8100,10000.0000,0.0000,4567.1900,0.0000,4567.1900,14567.1900,0.0000,0.0000,87.8500,0.9100,0.9100,13216.0000,13216.0000,13216.0000,0.0000,1,0,0.0061,0.4567,0.3099,-0.0057,3.9204,0.3119,9181.2468,-0.0176,0.00496439171763682,0.5849911898069942
2022-06-13 00:00:00+05:30,14335.4900,1351.1900,12984.3000,8648.8100,10000.0000,0.0000,4335.4900,0.0000,4335.4900,14335.4900,0.0000,0.0000,-231.7000,0.9100,0.9100,12984.3000,12984.3000,12984.3000,0.0000,1,0,-0.0159,0.4335,0.3094,-0.0215,3.7155,0.3144,8959.8165,-0.0241,0.005147818419614876,0.6290985543658331
2022-06-14 00:00:00+05:30,14525.1900,1351.1900,13174.0000,8648.8100,10000.0000,0.0000,4525.1900,0.0000,4525.1900,14525.1900,0.0000,0.0000,189.7000,0.9100,0.9100,13174.0000,13174.0000,13174.0000,0.0000,1,0,0.0132,0.4525,0.3086,-0.0086,3.3398,0.2967,8926.3610,-0.0037,0.005301251969672822,0.6272158755469673
2022-06-15 00:00:00+05:30,14357.1900,1351.1900,13006.0000,8648.8100,10000.0000,0.0000,4357.1900,0.0000,4357.1900,14357.1900,0.0000,0.0000,-168.0000,0.9100,0.9100,13006.0000,13006.0000,13006.0000,0.0000,1,0,-0.0116,0.4357,0.3077,-0.0201,3.2794,0.2974,8896.2793,-0.0034,0.00433362865364404,0.5425765623391475
2022-06-16 00:00:00+05:30,13919.6900,1351.1900,12568.5000,8648.8100,10000.0000,0.0000,3919.6900,0.0000,3919.6900,13919.6900,0.0000,0.0000,-437.5000,0.9000,0.9000,12568.5000,12568.5000,12568.5000,0.0000,1,0,-0.0305,0.3920,0.3097,-0.0499,2.8158,0.3053,8703.0878,-0.0217,0.0045348429665223915,0.6506033852757054
2022-06-17 00:00:00+05:30,14882.1900,1351.1900,13531.0000,8648.8100,10000.0000,0.0000,4882.1900,0.0000,4882.1900,14882.1900,0.0000,0.0000,962.5000,0.9100,0.9100,13531.0000,13531.0000,13531.0000,0.0000,1,0,0.0691,0.4882,0.3250,0.0000,3.6575,0.3313,8695.9431,-0.0008,0.0056218417130906246,0.6567887566631939
2022-06-20 00:00:00+05:30,13418.4900,1351.1900,12067.3000,8648.8100,10000.0000,0.0000,3418.4900,0.0000,3418.4900,13418.4900,0.0000,0.0000,-1463.7000,0.9000,0.9000,12067.3000,12067.3000,12067.3000,0.0000,1,0,-0.0984,0.3418,0.3549,-0.0984,2.1352,0.3922,8714.8256,0.0022,0.004359140518618939,0.6551790101142294
2022-06-21 00:00:00+05:30,13986.1900,1351.1900,12635.0000,8648.8100,10000.0000,0.0000,3986.1900,0.0000,3986.1900,13986.1900,0.0000,0.0000,567.7000,0.9000,0.9000,12635.0000,12635.0000,12635.0000,0.0000,1,0,0.0423,0.3986,0.3588,-0.0602,2.5704,0.4000,8865.2337,0.0173,0.005031626028437248,0.7065921317263439
